id,host_since,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
52678344,2021-2022,t,San Jose,37.31648,-121.89741,Private room,Single,1.0,1.0,65.0,6,1125,4,5.0,5.0,5.0,5.0,5.0,5.0,0.54
52915794,2013-2016,f,Milpitas,37.417721,-121.928291,Entire home/apt,Couple,1.0,1.0,155.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52687936,2021-2022,f,Santa Clara,37.361526,-121.957642,Entire home/apt,Small groups,1.0,2.0,98.0,2,365,15,4.47,4.53,4.4,4.8,4.2,4.27,1.93
52689503,2021-2022,t,San Jose,37.31856,-121.89886,Private room,Single,1.0,1.0,67.0,6,1125,4,5.0,4.75,5.0,4.75,5.0,4.75,0.5
52689572,2017-2020,f,San Jose,37.27195,-121.85478,Private room,Single,1.0,1.0,40.0,30,365,2,5.0,5.0,5.0,5.0,4.5,5.0,0.24
52701618,2017-2020,f,San Jose,37.42711,-121.9723,Private room,Couple,1.0,1.0,51.0,2,1125,6,4.83,5.0,5.0,4.67,4.83,5.0,0.74
52707742,2021-2022,t,San Jose,37.31844,-121.89921,Private room,Single,1.0,1.0,65.0,6,1125,6,5.0,5.0,5.0,5.0,5.0,4.8,0.76
52915878,2013-2016,f,San Jose,37.413273,-121.9384,Entire home/apt,Couple,1.0,1.0,213.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52714830,2017-2020,t,San Jose,37.28831,-121.91307,Entire home/apt,Small groups,2.0,3.0,97.0,2,365,10,4.9,4.6,4.8,4.8,4.8,4.9,1.41
52915893,2013-2016,f,San Jose,37.413273,-121.9384,Entire home/apt,Couple,1.0,1.0,172.0,31,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,0.4
52721719,2021-2022,t,San Jose,37.268803,-121.931801,Entire home/apt,Small groups,2.0,2.0,212.0,3,365,14,4.79,4.93,5.0,5.0,4.79,4.71,2.03
53105757,2013-2016,f,Mountain View,37.399841,-122.093643,Entire home/apt,Small groups,2.0,2.0,599.0,31,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,0.19
53107351,2013-2016,f,Milpitas,37.40852,-121.891724,Entire home/apt,Couple,1.0,1.0,185.0,31,1125,1,2.0,3.0,1.0,2.0,4.0,1.0,0.34
52922361,2013-2016,f,San Jose,37.32191,-121.93579,Private room,Couple,1.6826220231077575,1.0,220.0,1,15,26,4.27,4.27,4.42,4.38,4.46,4.31,4.59
53110315,2017-2020,f,San Jose,37.38963,-121.8126,Entire home/apt,Medium groups,3.0,5.0,216.0,2,1125,9,4.44,4.44,4.56,4.44,4.44,4.56,1.32
52937095,2009-2012,f,Santa Clara,37.3493,-121.97535,Private room,Couple,1.0,1.0,65.0,1,28,13,4.85,4.92,5.0,5.0,4.92,4.92,2.03
52939006,2013-2016,f,Mountain View,37.40663,-122.08622,Private room,Single,1.0,1.0,45.0,300,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52947650,2013-2016,f,San Jose,37.32078,-121.87431,Entire home/apt,Small groups,2.0,3.0,181.0,3,1125,2,4.5,4.5,5.0,4.5,5.0,5.0,0.33
53112812,2021-2022,f,Palo Alto,37.426662,-122.149704,Private room,Single,1.6826220231077575,1.0,45.0,6,1125,3,4.67,4.67,4.33,5.0,5.0,5.0,0.42
53114622,2009-2012,f,Palo Alto,37.43457,-122.14354,Private room,Couple,1.0,1.0,249.0,1,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53116063,2021-2022,f,Palo Alto,37.439911,-122.15715,Private room,Single,1.6826220231077575,1.0,65.0,6,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53116556,2013-2016,t,San Jose,37.25901,-121.83589,Private room,Single,1.0,1.0,74.0,1,90,4,5.0,5.0,4.75,5.0,5.0,5.0,0.56
52950067,2013-2016,f,San Jose,37.32874,-121.94274,Entire home/apt,Medium groups,4.0,5.0,399.0,3,1125,3,4.33,4.0,4.67,5.0,5.0,4.67,1.13
52950330,2009-2012,f,Palo Alto,37.4189,-122.15152,Entire home/apt,Single,1.6826220231077575,1.0,95.0,5,100,3,5.0,5.0,4.67,5.0,5.0,5.0,0.41
52963658,2017-2020,f,Sunnyvale,37.34024,-122.00918,Entire home/apt,Small groups,3.0,4.0,500.0,10,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52964987,2017-2020,f,San Jose,37.34896,-121.88855,Entire home/apt,Large Groups,7.0,8.0,699.0,3,365,2,4.5,5.0,4.5,5.0,3.5,4.5,0.3
53117876,2009-2012,f,Santa Clara,37.39305,-121.96024,Entire home/apt,Small groups,2.0,2.0,262.0,1,1125,15,4.6,4.93,4.67,5.0,4.67,4.47,2.24
52965165,2017-2020,f,San Jose,37.34759,-121.88674,Entire home/apt,Small groups,2.0,3.0,170.0,3,365,4,4.5,4.0,4.75,4.25,4.75,4.25,0.76
53119639,2013-2016,f,Milpitas,37.40852,-121.891724,Entire home/apt,Couple,1.0,1.0,216.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52968258,2013-2016,f,San Jose,37.35435,-121.8771,Entire home/apt,Couple,1.0,1.0,195.0,3,1125,6,4.33,4.17,3.83,4.17,4.0,4.17,0.79
53149096,2013-2016,t,Campbell,37.26994,-121.94224,Entire home/apt,Medium groups,2.0,4.0,199.0,1,90,25,5.0,5.0,5.0,4.96,4.96,4.96,4.36
52972530,2017-2020,f,Milpitas,37.41985,-121.90657,Entire home/apt,Small groups,2.0,2.0,128.0,31,365,3,5.0,5.0,5.0,5.0,5.0,5.0,0.43
